Stock,Belongs,Number of Trades,Profit,Profit %,Profit Factor,BUY,SELL,CLOSE BUY,CLOSE SELL,Last Close
A,.SPX,1,54.11,100,#NAME?,FALSE,FALSE,FALSE,FALSE,0
ABBV,.SPX,1,148.68,100,#NAME?,FALSE,FALSE,FALSE,FALSE,0
ABNB,.NDX.SPX,2,43.29,50,2.153,FALSE,FALSE,FALSE,FALSE,0
ABT,.SPX,2,-104.91,0,0,FALSE,FALSE,FALSE,FALSE,0
ACGL,.SPX,2,67.62,50,5.453,FALSE,FALSE,FALSE,FALSE,0
ACN,.SPX,1,33.76,100,#NAME?,FALSE,FALSE,FALSE,FALSE,0
ADBE,.NDX.SPX,6,318.66,83.333,5.556,FALSE,FALSE,FALSE,FALSE,0
ADI,.NDX.SPX,2,34.47,50,0.73,FALSE,FALSE,FALSE,FALSE,0
ADM,.SPX,1,-44.66,0,0,FALSE,FALSE,FALSE,FALSE,0
ADP,.NDX.SPX,2,126.38,100,#NAME?,FALSE,FALSE,FALSE,FALSE,0
ADSK,.NDX.SPX,1,72.15,100,#NAME?,FALSE,FALSE,FALSE,FALSE,0
AES,.SPX,1,101.47,100,#NAME?,FALSE,FALSE,FALSE,FALSE,0
AFL,.SPX,2,242.19,100,#NAME?,FALSE,FALSE,FALSE,FALSE,0
AIG,.SPX,1,44.28,100,#NAME?,FALSE,FALSE,FALSE,FALSE,0
AIZ,.SPX,3,210.28,100,#NAME?,FALSE,FALSE,FALSE,FALSE,0
AKAM,.SPX,1,0,0,,FALSE,FALSE,FALSE,FALSE,0
ALB,.SPX,4,-174.45,25,0.325,FALSE,FALSE,FALSE,FALSE,0
ALGN,.SPX,1,46.88,100,#NAME?,FALSE,FALSE,FALSE,FALSE,0
ALLE,.SPX,1,64.8,100,#NAME?,FALSE,FALSE,FALSE,FALSE,0
AMAT,.NDX.SPX,6,-26.23,33.333,0.523,FALSE,FALSE,FALSE,FALSE,0
AMCR,.SPX,1,52.14,100,#NAME?,FALSE,FALSE,FALSE,FALSE,0
AMD,.NDX.SPX,2,123.34,100,#NAME?,FALSE,FALSE,FALSE,FALSE,0
AMP,.SPX,1,-20.37,0,0,FALSE,FALSE,FALSE,FALSE,0
AMZN,.NDX.SPX.DJI,4,-200.97,25,0.197,FALSE,FALSE,FALSE,FALSE,0
ANET,.SPX,4,17.18,25,0.901,FALSE,FALSE,FALSE,FALSE,0
AOS,.SPX,1,-19.2,0,0,FALSE,FALSE,FALSE,FALSE,0
APA,.SPX,2,-110.88,0,0,FALSE,FALSE,FALSE,FALSE,0
APD,.SPX,1,68.92,100,#NAME?,FALSE,FALSE,FALSE,FALSE,0
APH,.SPX,1,70.59,100,#NAME?,FALSE,FALSE,FALSE,FALSE,0
APO,.SPX,2,68.04,50,1.953,FALSE,FALSE,FALSE,FALSE,0
APTV,.SPX,3,-204.82,0,0,FALSE,FALSE,FALSE,FALSE,0
ARM,.NDX,1,-50.26,0,0,FALSE,FALSE,FALSE,FALSE,0
